slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
sindresorhus_lungo-cli,lungo-cli,sindresorhus,Control the Lungo app from the command-line,49,4,3,0,0,3,JavaScript,2018-10-24T01:26:47Z,2025-07-17T18:28:33Z,https://github.com/sindresorhus/lungo-cli,True
sindresorhus_lungo-cli,lungo-cli,sindresorhus,Control the Lungo app from the command-line,49,4,3,0,0,3,JavaScript,2018-10-24T01:26:47Z,2025-07-17T18:28:33Z,https://github.com/sindresorhus/lungo-cli,True
sindresorhus_lungo-cli,lungo-cli,sindresorhus,Control the Lungo app from the command-line,49,4,3,0,0,3,JavaScript,2018-10-24T01:26:47Z,2025-07-17T18:28:33Z,https://github.com/sindresorhus/lungo-cli,True
nwithan8_arca,Arca,nwithan8,"Arca, a Discord bot for BigBox. Cogs for discord.py bots",21,5,2,8,0,1,Python,2019-07-25T05:24:27Z,2023-11-24T19:16:41Z,https://github.com/nwithan8/Arca,True
nwithan8_arca,Arca,nwithan8,"Arca, a Discord bot for BigBox. Cogs for discord.py bots",21,5,2,8,0,1,Python,2019-07-25T05:24:27Z,2023-11-24T19:16:41Z,https://github.com/nwithan8/Arca,True
nwithan8_arca,Arca,nwithan8,"Arca, a Discord bot for BigBox. Cogs for discord.py bots",21,5,2,8,0,1,Python,2019-07-25T05:24:27Z,2023-11-24T19:16:41Z,https://github.com/nwithan8/Arca,True
eeue56_elm-proper-install,elm-proper-install,eeue56,Properly install things from Github for Elm,15,1,1,5,0,0,JavaScript,2017-02-12T00:17:46Z,2024-02-25T15:32:25Z,https://github.com/eeue56/elm-proper-install,True
eeue56_elm-proper-install,elm-proper-install,eeue56,Properly install things from Github for Elm,15,1,1,5,0,0,JavaScript,2017-02-12T00:17:46Z,2024-02-25T15:32:25Z,https://github.com/eeue56/elm-proper-install,True
eeue56_elm-proper-install,elm-proper-install,eeue56,Properly install things from Github for Elm,15,1,1,5,0,0,JavaScript,2017-02-12T00:17:46Z,2024-02-25T15:32:25Z,https://github.com/eeue56/elm-proper-install,True
uyjulian_minecraftx-ray,MinecraftX-RAY,uyjulian,View blocks through blocks in Minecraft,34,8,12,2,0,5,Java,2013-01-23T23:40:03Z,2025-07-16T09:29:33Z,https://github.com/uyjulian/MinecraftX-RAY,True
uyjulian_minecraftx-ray,MinecraftX-RAY,uyjulian,View blocks through blocks in Minecraft,34,8,12,2,0,5,Java,2013-01-23T23:40:03Z,2025-07-16T09:29:33Z,https://github.com/uyjulian/MinecraftX-RAY,True
uyjulian_minecraftx-ray,MinecraftX-RAY,uyjulian,View blocks through blocks in Minecraft,34,8,12,2,0,5,Java,2013-01-23T23:40:03Z,2025-07-16T09:29:33Z,https://github.com/uyjulian/MinecraftX-RAY,True
nextcloud_bookmarks,bookmarks,nextcloud,🔖 Bookmark app for Nextcloud,1112,175,84,65,16,169,JavaScript,2013-04-09T22:09:20Z,2025-08-07T16:23:23Z,https://github.com/nextcloud/bookmarks,True
